City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
0,Punta Arenas,CL,90,57.2,21.85,51,-53.15,-70.9167
1,Almaznyy,RU,75,23.0,20.13,74,48.0448,40.045
2,Cape Town,ZA,0,72.0,9.22,88,-33.9258,18.4232
3,Arraial do Cabo,BR,100,76.51,15.68,88,-22.9661,-42.0278
4,Yangi Marg`ilon,UZ,100,42.8,4.61,61,40.4272,71.7189
5,Butaritari,KI,29,81.21,12.15,83,3.0707,172.7902
6,Pevek,RU,100,-20.38,5.5,89,69.7008,170.3133
7,Mar del Plata,AR,90,69.8,11.5,94,-38.0023,-57.5575
8,Hermanus,ZA,4,68.0,6.71,84,-34.4187,19.2345
9,Cherskiy,RU,0,-22.77,2.13,80,68.75,161.3
10,Van,TR,40,28.4,3.44,93,38.4924,43.3831
11,Kumul,CN,9,31.23,4.47,85,42.8,93.45
12,Camacha,PT,0,57.2,2.3,82,33.0833,-16.3333
13,George Town,MY,20,80.01,2.3,88,5.4112,100.3354
14,Ust-Nera,RU,38,-2.18,1.16,81,64.5667,143.2
15,Port Augusta,AU,90,70.0,12.66,60,-32.5,137.7667
16,Xiongzhou,CN,19,54.61,1.14,76,25.1167,114.3
17,Barrow,US,90,-9.4,8.05,70,71.2906,-156.7887
18,Sørland,NO,100,35.47,16.42,83,67.667,12.6934
19,Jinxi,CN,0,51.62,3.09,86,30.4323,116.2922
20,Ushuaia,AR,75,57.2,13.8,41,-54.8,-68.3
21,Jamestown,US,1,17.6,8.05,67,42.097,-79.2353
22,Cayenne,GF,75,78.8,9.22,94,4.9333,-52.3333
23,Coron,PH,85,78.89,7.58,86,11.9986,120.2043
24,Mataura,NZ,78,66.99,4.0,59,-46.1927,168.8643
25,Dali,CN,0,40.41,3.89,75,25.7,100.1833
26,Rikitea,PF,37,80.56,9.15,70,-23.1203,-134.9692
27,Longyearbyen,SJ,90,8.6,4.61,85,78.2186,15.6401
28,Neiafu,TO,75,84.2,6.91,79,-18.65,-173.9833
29,Vaini,TO,75,86.0,8.05,74,-21.2,-175.2
30,Tasiilaq,GL,75,30.2,36.82,74,65.6145,-37.6368
31,Dwārka,IN,0,68.76,8.43,73,22.2394,68.9678
32,Hithadhoo,MV,100,82.13,12.03,74,-0.6,73.0833
33,Saint-Philippe,RE,0,77.0,9.22,65,-21.3585,55.7679
34,Rawson,AR,3,69.42,8.41,69,-43.3002,-65.1023
35,Atuona,PF,4,79.03,15.88,79,-9.8,-139.0333
36,Dolinsk,RU,90,24.8,2.24,93,47.35,142.8
37,Leninsk,RU,90,39.0,24.61,100,48.7119,45.1994
38,Rocha,UY,100,66.83,6.22,94,-34.4833,-54.3333
39,Mweka,CD,94,70.12,0.34,94,-4.85,21.5667
40,Aswān,EG,0,60.8,11.1,32,24.0934,32.907
41,Chui,UY,100,69.3,9.8,94,-33.6971,-53.4616
42,New Norfolk,AU,33,69.01,3.0,51,-42.7826,147.0587
43,Ponta do Sol,PT,15,55.99,5.01,73,32.6667,-17.1
44,Kaitangata,NZ,96,63.0,8.01,70,-46.2817,169.8464
45,Tromsø,NO,90,24.8,3.44,93,69.6496,18.957
46,Kavaratti,IN,81,80.69,7.63,63,10.5669,72.642
47,Bongor,TD,1,69.67,7.47,22,10.2806,15.3722
48,Puerto Ayora,EC,42,75.99,7.0,96,-0.7393,-90.3518
49,Yellowknife,CA,20,-13.0,3.44,77,62.456,-114.3525
50,Neuquén,AR,40,84.2,8.05,34,-38.9516,-68.0591
51,São José da Coroa Grande,BR,2,79.18,9.73,78,-8.8978,-35.1478
52,Albany,US,91,14.0,3.29,47,42.6001,-73.9662
53,Port Elizabeth,ZA,75,77.0,16.11,88,-33.918,25.5701
54,Torbay,CA,90,30.99,33.38,93,47.6666,-52.7314
55,Orissaare,EE,90,25.0,6.91,100,58.5592,23.0826
56,Gizo Government Station,SB,97,82.63,9.37,75,-8.103,156.8419
57,Gimli,CA,100,-20.2,2.42,63,50.6336,-96.9907
58,Kapaa,US,1,77.0,4.61,57,22.0752,-159.319
59,Guangyuan,CN,100,37.0,15.01,99,32.442,105.823
60,Port Hardy,CA,90,35.6,31.07,47,50.6996,-127.4199
61,Vondrozo,MG,100,66.81,1.34,100,-22.8167,47.2833
62,Plouzané,FR,90,33.8,14.97,69,48.3833,-4.6167
63,Clyde River,CA,75,-0.4,20.71,85,70.4692,-68.5914
64,Avarua,CK,40,86.0,4.61,66,-21.2078,-159.775
65,Quang Ngai,VN,42,63.16,4.94,84,15.1167,108.8
66,Acaraú,BR,38,80.08,12.17,81,-2.8856,-40.12
67,Salalah,OM,0,68.0,2.3,45,17.0151,54.0924
68,Tutóia,BR,100,81.0,13.71,80,-2.7619,-42.2744
69,Busselton,AU,0,66.0,5.01,71,-33.65,115.3333
70,Port Alfred,ZA,62,73.99,5.99,95,-33.5906,26.891
71,Gamba,GA,100,79.14,6.73,84,-2.65,10.0
72,Padang,ID,20,75.2,3.44,88,-0.9492,100.3543
73,Saint Paul Harbor,US,90,33.8,16.11,80,57.79,-152.4072
74,Bluff,NZ,80,66.99,4.0,59,-46.6,168.3333
75,Alanya,TR,0,51.8,6.91,82,36.5438,31.9998
76,Dunedin,NZ,96,62.01,24.0,74,-45.8742,170.5036
77,Los Llanos de Aridane,ES,0,64.4,10.36,72,28.6585,-17.9182
78,Vila Velha,BR,40,78.8,5.75,78,-20.3297,-40.2925
79,Bethel,US,90,24.8,4.61,28,41.3712,-73.414
80,Dikson,RU,88,-25.76,11.1,87,73.5069,80.5464
81,El Doncello,CO,25,78.13,3.29,67,1.6782,-75.2847
82,Key West,US,1,77.0,11.5,83,24.5557,-81.7826
83,Tautira,PF,75,86.0,17.27,66,-17.7333,-149.15
84,North Platte,US,100,-4.0,4.0,79,41.1239,-100.7654
85,Calabozo,VE,78,84.0,4.7,48,8.9242,-67.4293
86,Zhuhai,CN,20,64.0,6.91,77,22.2769,113.5678
87,Banda Aceh,ID,78,79.25,7.38,79,5.5577,95.3222
88,Goulburn,AU,3,75.99,1.99,91,-34.75,149.7167
89,Bengkulu,ID,92,77.94,4.09,81,-3.8004,102.2655
90,Paamiut,GL,62,23.97,18.48,91,61.994,-49.6678
91,Opuwo,NA,95,63.05,4.76,83,-18.0607,13.84
92,Hilo,US,1,82.4,10.36,51,19.7297,-155.09
93,Sri Aman,MY,20,77.0,1.32,94,1.2376,111.4621
94,Castro,BR,72,62.4,3.11,95,-24.7911,-50.0119
