City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
0,Punta Arenas,CL,0,51.8,18.41,58,-53.15,-70.9167
1,Butaritari,KI,70,81.88,14.97,77,3.0707,172.7902
2,Bluff,NZ,42,57.99,8.01,74,-46.6,168.3333
3,Kirakira,SB,96,80.92,6.22,81,-10.4544,161.9205
4,Airai,TL,98,64.51,0.94,97,-8.9266,125.4092
5,Lebu,CL,25,61.63,13.65,85,-37.6167,-73.65
6,Swan Hill,AU,100,71.89,7.9,70,-35.3378,143.5544
7,Arraial do Cabo,BR,75,75.2,8.05,94,-22.9661,-42.0278
8,Geraldton,AU,0,57.2,8.05,88,-28.7667,114.6
9,Suleja,NG,22,81.34,8.88,15,9.1758,7.1808
10,Hithadhoo,MV,22,81.16,14.92,80,-0.6,73.0833
11,Kloulklubed,PW,75,82.4,6.91,83,7.0419,134.2556
12,Puerto Ayora,EC,75,78.8,6.91,83,-0.7393,-90.3518
13,Kamaishi,JP,0,24.8,1.14,86,39.2667,141.8833
14,Esperance,AU,90,59.0,6.2,72,-33.8667,121.9
15,Kruisfontein,ZA,100,75.0,5.99,87,-34.0033,24.7314
16,Hilo,US,90,73.4,6.11,78,19.7297,-155.09
17,Saint Paul Harbor,US,90,37.4,35.68,87,57.79,-152.4072
18,Cape Town,ZA,0,72.0,12.66,94,-33.9258,18.4232
19,Lata,PT,98,57.99,5.99,99,40.1629,-8.3327
20,Tiksi,RU,66,-9.08,9.22,88,71.6872,128.8694
21,Dongsheng,CN,8,25.88,4.65,75,39.8161,109.9776
22,George Town,MY,40,78.8,3.44,83,5.4112,100.3354
23,Tecpan,GT,40,71.6,11.5,68,14.7623,-90.9947
24,Pemba,MZ,100,78.82,15.55,77,-12.974,40.5178
25,Boa Vista,BR,40,86.0,6.91,51,2.8197,-60.6733
26,Rikitea,PF,99,79.27,7.61,70,-23.1203,-134.9692
27,Nouadhibou,MR,0,68.0,19.57,60,20.931,-17.0347
28,Carnarvon,AU,85,71.6,14.97,88,-24.8667,113.6333
29,Ushuaia,AR,40,53.6,17.27,58,-54.8,-68.3
30,São Filipe,CV,0,72.09,9.37,67,14.8961,-24.4956
31,Touros,BR,20,80.6,10.36,78,-5.1989,-35.4608
32,Los Llanos de Aridane,ES,0,62.6,4.61,72,28.6585,-17.9182
33,Kananga,CD,100,70.61,2.35,88,-5.8958,22.4178
34,Hobart,AU,20,68.0,18.41,45,-42.8794,147.3294
35,Barrow,US,1,-43.6,9.22,83,71.2906,-156.7887
36,Duekoué,CI,52,77.86,4.43,71,6.7472,-7.3496
37,Tuatapere,NZ,0,57.99,8.01,74,-46.1333,167.6833
38,Tucumcari,US,1,53.6,8.05,35,35.1717,-103.725
39,Kaitangata,NZ,6,61.0,8.01,60,-46.2817,169.8464
40,Nikolskoye,RU,75,5.0,6.71,85,59.7035,30.7861
41,Busselton,AU,0,51.01,1.01,96,-33.65,115.3333
42,Ahipara,NZ,4,68.59,9.51,53,-35.1667,173.1667
43,Darhan,MN,97,-0.31,3.04,86,49.4867,105.9228
44,Hermanus,ZA,21,73.0,1.01,88,-34.4187,19.2345
45,Leh,IN,0,7.11,1.66,68,34.1667,77.5833
46,Mount Gambier,AU,90,62.6,11.5,67,-37.8333,140.7667
